Broad region value,Broad region,Specific region value,Specific region (country or colony),Place value,Places (port or location)
,,,,104836,Thorp Arch
,,,,104837,Toxteth
,,,,104838,Ulverston
,,,,104839,"Ellel, Lancashire"
,,,,104842,Wavertree
,,,,104843,Weobley
,,,,104844,West Auckland
,,,,104845,"West Derby, Liverpool"
,,,,104846,Westbury-on Trym
,,,,104847,Westminster
,,,,104848,"Whicham, Cumberland"
,,,,104849,Whiston
,,,,104851,"Witton, Cheshire"
,,,,104852,Wivenhoe
,,,,104853,Woodford
,,,,104854,Woolton
,,,,104855,York
,,,,104856,Yorkshire
,,,,104901,Moreton
,,,,104903,Mount Vernon
,,,,104904,Mylor Churchtown
,,,,104905,Nantwich
,,,,104906,Derbyshire
,,,,104907,Newport
,,,,104908,"Norfolk, UK"
,,,,104909,"Northumberland, UK"
,,,,104911,Greatacre
,,,,104912,Caton
,,,,104913,Pentre Llanrhaeadr
,,,,104914,Lymm
,,,,104915,Manchester
,,,,104916,Heaton Norris
,,,,104917,Millom
,,,,104918,Milnthorpe
,,,,104919,Minehead
,,,,104921,Kirkham
,,,,104922,Knowsley
,,,,104923,"Warbrick, Liverpool"
,,,,104924,Tunstall
,,,,104925,Leyland
,,,,104926,Liscard
,,,,104927,Lisson Grove
,,,,104928,Litherland
,,,,104929,Little Colan
,,,,104931,"Hillcliff, Warrington"
,,,,104933,Hubberston
,,,,104935,Huyton
,,,,104936,Islington
,,,,104937,Kent
,,,,104938,Kingston
,,,,104941,Greenbank
,,,,104942,Grinsdale
,,,,104943,Hambleton
,,,,104944,Haverfordwest
,,,,104946,Hereford
,,,,104947,Heversham
,,,,104948,Heysham
,,,,104949,"Highfield, Liverpool"
,,,,104951,Denbigh
,,,,104952,"Edgehill, Liverpool"
,,,,104953,Ellel
,,,,104954,Etton
,,,,104956,Flixton
,,,,104957,Giggleswick
,,,,104958,Great Crosby
,,,,104960,"Beacon Rise, Stone"
,,,,104961,Cambridge
,,,,104962,Dalemain
,,,,104963,"Sandfield, Wallasey"
,,,,104964,Wakefield
,,,,104965,Moss Side
,,,,104966,"Devon, UK"
,,,,104967,Dorset
,,,,104968,"Westmorland, place unspecified"
,,,,104969,"Blackley Hurst Hall, Billinge"
,,,,104970,"Ashburton, Devon"
,,,,104971,"Chorlton Hall, Backford"
,,,,104972,Church Green Lymm
,,,,104973,Claughton
,,,,104974,Cockerham
,,,,104975,"Colton, Lancashire"
,,,,104976,Colwall Stone
,,,,104977,Congleton
,,,,104978,Warrington
,,,,104979,Warminster
,,,,104980,Homestead
,,,,104981,Walton
,,,,104982,"Carlisle, Cumbria"
,,,,104983,"Castle Godwyn, Gloucester"
,,,,104984,Caton Green
,,,,104985,"Chard, Devon"
,,,,104986,Cheshire
,,,,104987,Childer Thornton
,,,,104988,Childwall
,,,,104989,Chorley
,,,,104990,Mile End Liverpool
,,,,104992,Prescot
,,,,104993,"Middleton, Tamworth"
,,,,104995,Caton Lancashire
,,,,104996,Fairfield
,,,,104998,Cumberland
10000,Europe,10500,Scotland,10501,Airth
,,,,10502,Borrowstounness
,,,,10503,Dundee
,,,,10504,Glasgow
,,,,10505,Greenock
,,,,10506,Leith
,,,,10508,Montrose
,,,,10509,Ross
,,,,10510,Saltcoats
,,,,10511,"Largo, Fifeshire"
,,,,10512,Dumfries
,,,,10513,Point Askaig
,,,,10514,Cambletown
,,,,10515,Portpatrick
,,,,10516,Erwin
,,,,10517,Aberdeen
,,,,10518,Stranraer
,,,,10519,Oban
,,,,10520,Campbeltown
,,,,10521,Loch Dochfour
,,,,10522,Dumfriesshire
,,,,10523,Edinburgh
,,,,10524,Galloway
,,,,10525,Gretna
,,,,10526,Jedburgh
,,,,10527,Killead
,,,,10528,kincardineshire
,,,,10529,Kirkcudbright
,,,,10530,Kirkliston
,,,,10531,Netherton
,,,,10532,"Pentland Firth, UK"
,,,,10533,"Perth, Scotland"
,,,,10534,Tarbolton
,,,,10535,Turnberry
,,,,10599,"Scotland, place unspecified"
10000,Europe,10600,Ireland,10601,Cork
,,,,10602,Dublin
,,,,10603,Dungarvan
,,,,10604,Galway
,,,,10605,Kinsale
,,,,10606,Limerick
,,,,10607,Londonderry
,,,,10608,Ringsend
,,,,10609,Strangford
,,,,10610,Waterford
,,,,10611,Wexford
,,,,10612,Belfast
,,,,10613,Coleraine
,,,,10614,Skibbereen
,,,,10615,"Tonaghmore, Cloghernalaura"
,,,,10616,Tynan
,,,,10617,Drogheda
,,,,10618,Lough Neagh
,,,,10699,"Ireland, place unspecified"
10000,Europe,10700,France,10702,Bayonne
,,,,10703,Bordeaux
,,,,10704,Brest
,,,,10705,Calais
,,,,10706,Camaret
,,,,10707,Dieppe
,,,,10708,Dinard
,,,,10709,Dunkerque
,,,,10710,Honfleur
,,,,10711,Ile de Batz
,,,,10712,La Rochelle
,,,,10713,Le Havre
,,,,10714,Les Sables
,,,,10715,Lorient
,,,,10716,Marseille
,,,,10717,Mediterranean coast (France)
,,,,10718,Mindin
,,,,10719,Morlaix
,,,,10720,Nantes
,,,,10721,Paimboeuf
,,,,10722,Port Louis
,,,,10723,Quimper
,,,,10724,Rochefort
,,,,10725,Saint-Brieuc
,,,,10726,Saint-Malo
,,,,10727,Saint-Nazaire
,,,,10728,Saint-Tropez
,,,,10729,Sète
,,,,10730,Vannes
,,,,10731,Anucita
,,,,10732,Barbezieux-Saint-Hilaire
,,,,10733,Beau sejour
,,,,10734,Bergerac
,,,,10735,Biarritz
,,,,10736,Blaye
,,,,10737,Cadillac
,,,,10738,Castres
,,,,10739,Chaillevette
,,,,10741,Clairac
,,,,10742,Étaules
,,,,10743,Grateloup-Saint-Gayrand
,,,,10744,La Tremblade
,,,,10745,"Languedoc-Roussillon, France"
,,,,10746,Le Fleix
,,,,10747,Limoges
,,,,10748,Lormont
,,,,10749,Lyon
,,,,10751,Marennes-Hiers-Brouage
,,,,10752,Mirambeau
,,,,10753,Montpellier
,,,,10754,Mornac
,,,,10755,Nice
,,,,10756,"Oléron, France"
,,,,10757,Paillet
,,,,10758,Podensac
,,,,10759,Rennes
,,,,10761,Pauillac
,,,,10762,Toulouse
,,,,10763,Tournon-sur-Rhône
,,,,10764,Basse Indre
,,,,10799,"France, place unspecified"
10000,Europe,10800,Netherlands,10801,Alkmaar
,,,,10802,Amersfoort
,,,,10803,Bergen
,,,,10804,Zaltbommel
,,,,10805,Boskoop
,,,,10806,Buiksloot
,,,,10807,Brielle
,,,,10808,Den Helder
,,,,10809,Den Hoorn
,,,,10810,Amsterdam
,,,,10811,Eemnes
,,,,10812,Egmond aan Zee
,,,,10813,Fleringen
,,,,10814,Friesland
,,,,10815,Geertruidenberg
,,,,10816,Goes
,,,,10817,graft
,,,,10818,Haarlem
,,,,10819,Harlingen
,,,,10820,Hasselt
,,,,10821,Enkhuizen
,,,,10822,Hoorn
,,,,10823,Hindeloopen
,,,,10824,Hulst
,,,,10825,IJzendijke
,,,,10827,Zaandam
,,,,10828,Zuider Zee
,,,,10829,Texel
,,,,10830,Rotterdam
,,,,10831,Dordrecht
,,,,10832,Maze
,,,,10833,Moerdijk
,,,,10834,Hellevoetsluis
,,,,10835,Monnickendam
,,,,10836,Naarden
,,,,10837,Nieuwendam
,,,,10838,Obdam
,,,,10839,Oldenzaal
,,,,10840,Zeeland
,,,,10841,Oostburg
,,,,10842,Oostzaan
,,,,10843,Ravenstein
,,,,10844,Roosendaal
,,,,10845,Leiden
,,,,10846,Schellingwoude
,,,,10847,Schoorl
,,,,10848,Sint-Annaland
,,,,10849,Sint-Maartensdijk
,,,,10850,Middelburg
,,,,10851,Vlissingen
,,,,10852,Veere
,,,,10853,Zeeland or Middelburg
,,,,10854,Spierdijk
,,,,10856,Stavoren
,,,,10859,The Hague
,,,,10860,Groningen
,,,,10861,Utrecht
,,,,10862,Werkendam
,,,,10863,West-Souburg
,,,,10864,Woerden
,,,,10865,Zierikzee
,,,,10866,Zwolle
,,,,10867,Netherlands
,,,,10869,Aalsmeer
,,,,10870,Twisk
,,,,10871,Leiderdorp
,,,,10872,"Ameland, Netherlands"
,,,,10873,Wijk aan Zee
,,,,10874,Gorinchem
,,,,10875,Kampen
,,,,10876,Kats
,,,,10877,Katwijk aan Zee
,,,,10878,Maarssen
,,,,10879,Maassluis
,,,,10880,Medemblik
,,,,10899,"Netherlands, port unspecified"
10000,Europe,10900,Denmark,10901,København
,,,,10902,Husum
,,,,10903,Helsingør
,,,,10904,Grådyb
,,,,10905,Copenhagen
,,,,10906,Ribe
,,,,10999,"Denmark, port unspecified"
10000,Europe,11000,Germany,11001,Pillau
,,,,11002,Elbe
,,,,11003,Emden
,,,,11004,Hamburg
,,,,11005,Hanover
,,,,11006,Lübeck
,,,,11007,Glückstadt
,,,,11008,Ängelholm
,,,,11009,Baden bei Wien
,,,,11010,Bockhorn
,,,,11011,Brandenburg
,,,,11012,Bremen
,,,,11013,Bremerlee
,,,,11014,Cologne
,,,,11015,Wolgast
,,,,11016,Wardenburg
,,,,11017,"Sylt, Germany"
,,,,11018,Feucht
,,,,11019,Föhr
,,,,11021,Frankenthal
,,,,11022,Frankfurt
,,,,11023,Goch
,,,,11024,Halberstadt
,,,,11025,Jever
,,,,11026,Biebertal
,,,,11027,Kronberg
,,,,11028,Lütjenburg
,,,,11029,Jemgum
,,,,11031,Otterndorf
,,,,11032,Lier/Leer
,,,,11033,Rostock
,,,,11034,Schleswig
,,,,11035,Stadland
,,,,11036,Stade
,,,,11037,Stolberg
,,,,11038,Stralsund
,,,,11039,Germany
,,,,11040,Delmenhorst
,,,,11041,Dortmund
,,,,11099,Germany - port unspecified
10000,Europe,11100,Belgium,11101,Antwerp
,,,,11102,Flanders
,,,,11103,Brugge
,,,,11104,Ghent
,,,,11105,Leuven
,,,,11106,Liège
,,,,11107,Brussels
,,,,11108,Doornik
,,,,11109,Mechelen
,,,,11199,"Belgium, port unspecified"
10000,Europe,11200,Norway,11201,Tønsberg
,,,,11202,Bergen
,,,,11203,Halden
,,,,11204,Kristiansand
,,,,11205,Trondheim
,,,,11206,Stavanger
,,,,11299,"Norway, port unspecified"
10000,Europe,11300,Sweden,11301,Göteborg
,,,,11302,Ystad
,,,,11303,Gothenburg
,,,,11304,Listerlandet
,,,,11305,Stockholm
,,,,11306,Uddevalla
,,,,11307,Varberg
,,,,11308,Västervik
,,,,11309,Ängelholm
,,,,11399,"Sweden, port unspecified"
10000,Europe,11400,Italy,11401,Genova
,,,,11402,Napoli
,,,,11404,Trieste
,,,,11405,"Gozo, Malta"
,,,,11406,Livorno
,,,,11499,"Italy, port unspecified"
10000,Europe,11500,Russia,11501,Kronstadt
,,,,11502,Odessa
,,,,11599,"Russia, port unspecified"
10000,Europe,11600,Mediterranean,11601,Sardinia
,,,,11699,"Mediterranean, port unspecified"
10000,Europe,11700,Latvia,11799,"Latvia, port unspecified"
10000,Europe,11800,Greece,11898,Cephalonia
,,,,11904,Szczecin (stettin)
,,,,11905,Ustka
10000,Europe,11900,Poland,11798,Switzerland
,,,,11901,Gdańsk
,,,,11902,Kołobrzeg
,,,,11903,Szczecin
20000,Mainland North America,20100,Rhode Island,20101,Bristol (RI)
,,,,20102,Little Compton
,,,,20103,Newport
,,,,20104,North Kingston
,,,,20105,Providence
,,,,20106,Tiverton
,,,,20107,Warren
,,,,20108,"Warwick, RI"
,,,,20109,Westerley
,,,,20110,Barrington
,,,,20111,Chopmist
,,,,20112,Narragansett
,,,,20113,Smithfield
,,,,20114,Cranston
,,,,20199,"Rhode Island, port unspecified"
20000,Mainland North America,20200,Maine,20201,Bath
,,,,20202,Berwick
,,,,20203,Biddeford
,,,,20204,Calais (Maine)
,,,,20205,Camden
,,,,20206,Troy
,,,,20207,Freeport
,,,,20208,Portland
,,,,20209,Prospect
,,,,20210,Richmond
,,,,20211,Robbinston
,,,,20212,Rockland
,,,,20213,Sheepscutt River
,,,,20214,Wiscasset
,,,,20215,Kittery Point
,,,,20216,Orrington
,,,,20217,Penobscot
,,,,20218,Thomaston
,,,,20219,Gardiner
,,,,20220,Bangor
,,,,20221,St. George
,,,,20222,Falmouth
,,,,20223,Nesterbury
,,,,20224,Hampden
,,,,20225,Hallowell
,,,,20226,Nobleborough
,,,,20227,Brewer
,,,,20299,"Maine, port unspecified"
20000,Mainland North America,20300,New Hampshire,20301,Piscataqua
,,,,20302,Portsmouth (NH)
,,,,20303,North Hampton
,,,,20399,"New Hampshire, port unspecified"
20000,Mainland North America,20400,Massachusetts,20401,Massachusetts Bay
,,,,20402,Amesbury
,,,,20403,Arundel
,,,,20404,Boston
,,,,20405,Chatham
,,,,20406,Cohasset
,,,,20407,Dighton
,,,,20408,Duxbury
,,,,20409,Freetown (Mass.)
,,,,20410,Georgetown
,,,,20411,Hingham
,,,,20412,Kingston (Mass.)
,,,,20413,Marblehead
,,,,20414,Marshfield
,,,,20415,New Bedford
,,,,20416,Newbury
,,,,20417,Salem
,,,,20418,Salisbury
,,,,20419,Salfatudas
,,,,20420,Scituate
,,,,20421,Swansea
,,,,20422,Weymouth
,,,,20423,Charlestown
,,,,20424,Newburyport
,,,,20425,Nantucket
,,,,20426,Plymouth
,,,,20427,Dartmouth
,,,,20428,Somerset
,,,,20429,Sandwich
,,,,20430,"Braintree, MA"
,,,,20431,Medford
,,,,20432,Rochester. MA
,,,,20433,"Swansea, MA"
,,,,20434,Taunton
,,,,20435,"Cambridge, MA"
,,,,20436,Dedham
,,,,20499,"Massachusetts, port unspecified"
20000,Mainland North America,20500,Connecticut,20501,Bridgeport
,,,,20502,Guildford
,,,,20503,Haddam
,,,,20504,New Haven
,,,,20505,New London
,,,,20506,Middletown
,,,,20507,Hartford
,,,,20508,Fairfield
,,,,20509,Killingworth
,,,,20510,Weathersfield
,,,,20511,Seabrook
,,,,20512,Mystic
,,,,20514,Glastonbury
,,,,20599,"Connecticut, port unspecified"
20000,Mainland North America,20600,New York,20601,Brookhaven
,,,,20602,Long Island
,,,,20603,Sag Harbor
,,,,20604,Fort Orange
,,,,20605,New Rochelle
,,,,20606,"Rochdale, Queens, NY"
,,,,20699,New York
20000,Mainland North America,20700,Delaware,20701,Wilmington
,,,,20799,"Delaware, port unspecified"
20000,Mainland North America,20800,New Jersey,20801,Delaware River
,,,,20802,Eastern New Jersey
,,,,20803,Milwell
,,,,20804,Perth Amboy
,,,,20805,Wharton
,,,,20806,Burlington
,,,,20807,Newark
,,,,20808,Cohanzie
,,,,20899,"New Jersey, port unspecified"
20000,Mainland North America,20900,Pennsylvania,20901,Marcus Hook
,,,,20902,Philadelphia
,,,,20903,Pittsburgh
,,,,20999,"Pennsylvania, port unspecified"
20000,Mainland North America,21000,Maryland,21001,Annapolis
,,,,21002,Baltimore
,,,,21003,North Potomac
,,,,21004,Oxford
,,,,21005,Pamunkey
,,,,21006,Patuxent
,,,,21007,Talbot County
,,,,21008,Wye River
,,,,21009,Cecil County
,,,,21010,Choptank
,,,,21011,Pocomoke
,,,,21012,St. Mary's River
,,,,21013,Londontowne
,,,,21014,Anne Arundel County
,,,,21015,Warwick
,,,,21016,Kent County
,,,,21017,Calvert County
,,,,21018,Charles County
,,,,21019,Somerset County
,,,,21020,Frederick County
,,,,21021,Cambridge County
,,,,21022,Dorchester County
,,,,21023,St. Mary's County
,,,,21024,Snow Hill
,,,,21025,Port of Tobacco
,,,,21027,Eastern Shore
,,,,21028,Hollywood
,,,,21099,"Maryland, port unspecified"
20000,Mainland North America,21100,Virginia,21101,Elizabeth River
,,,,21102,Hampton
,,,,21103,Lower James River
,,,,21104,Norfolk
,,,,21105,Northampton County
,,,,21106,Potomac river
,,,,21107,Rappahannock
,,,,21108,South Potomac
,,,,21109,Upper James River
,,,,21110,Williamsburg
,,,,21111,York River
,,,,21112,Vatt (location undetermined)
,,,,21113,Accomac
,,,,21114,Urbanna
,,,,21115,Richmond (VA)
,,,,21116,Hampton Roads
,,,,21117,Alexandria
,,,,21118,Petersburg
,,,,21119,Cumberland County
,,,,21121,Sussex County
,,,,21122,Eastern Shore
,,,,21123,Elizabeth
,,,,21124,Buckingham
,,,,21125,Prince William County
,,,,21127,Lynchburg
,,,,21128,Gloucester County
,,,,21129,Leesburg
,,,,21130,Portsmouth
,,,,21131,Greensville County
,,,,21132,Halifax
,,,,21133,Essex County
,,,,21134,Hardy County
,,,,21135,Putnam County
,,,,21136,York County
,,,,21137,New Virginia
,,,,21138,Mathews
,,,,21139,Jefferson County
,,,,21140,Kempsville
,,,,21141,Princess Anne
,,,,21142,Warwick County
,,,,21143,Yorktown
,,,,21144,Culpeper
,,,,21145,Dinwiddie County
,,,,21146,Albemarle County
,,,,21147,Jamestown
,,,,21148,Bermuda Hundred
,,,,21199,"Virginia, port unspecified"
20000,Mainland North America,21200,North Carolina,21201,Bertie County
,,,,21202,Chowan river
,,,,21203,New Bern
,,,,21204,Hyde County
,,,,21205,Roanoke
,,,,21206,Beaufort
,,,,21207,Brunswick
,,,,21208,Cape Fear
,,,,21209,Edenton
,,,,21210,Wilmington
,,,,21211,Bridgeton
,,,,21212,Barnwell
,,,,21215,Halifax
,,,,21216,Elizabeth City
,,,,21217,Gates City/County
,,,,21218,Salisbury
,,,,21219,Hanover County
,,,,21220,Franklin County
,,,,21221,Granville County
,,,,21223,Asheville
,,,,21224,Pasquotank
,,,,21225,Randolph County
,,,,21226,Stokes County
,,,,21227,Fayetteville
,,,,21228,Jackson
,,,,21229,Portsmouth
,,,,21299,"North Carolina, port unspecified"
20000,Mainland North America,21300,South Carolina,21301,Beaufort
,,,,21302,Charleston
,,,,21304,Georgetown
,,,,21305,Amelia Township
,,,,21306,Dorchester
,,,,21307,Darlington
,,,,21308,Greenville
,,,,21309,Camden
,,,,21310,Sumter
,,,,21311,Waccamaw
,,,,21312,Columbia
,,,,21313,Columbia County
,,,,21314,"Aiken Co, SC"
,,,,21315,"Edgefield County, SC"
,,,,21316,"Richmond County, nr Augusta, SC"
,,,,21317,"Augusta, SC"
,,,,21399,"South Carolina, place unspecified"
20000,Mainland North America,21400,Georgia,21401,Savannah
,,,,21402,Sunbury
,,,,21403,Tybee Island
,,,,21404,"Cumberland Island,Georgia"
,,,,21405,Jekyll Island
,,,,21406,Augusta
,,,,21407,Bainbridge
,,,,21408,Baker County
,,,,21411,Blakely
,,,,21412,Burke County
,,,,21413,Columbus
,,,,21414,Crawford County
,,,,21415,Effingham
,,,,21416,Early County
,,,,21417,Fort Gaines
,,,,21418,Houston County
,,,,21419,Macon
,,,,21420,Madison
,,,,21421,Oglethorpe
,,,,21422,Monroe County
,,,,21423,Randolph County
,,,,21424,Thomas County
,,,,21425,Screven County
,,,,21426,Jones County
,,,,21427,Troup County
,,,,21428,Sanderville
,,,,21429,Fayette County
,,,,21499,"Georgia, port unspecified"
20000,Mainland North America,21500,Florida,21501,St. Augustine
,,,,21502,Pensacola
,,,,21503,Amelia Island
,,,,21504,Key West
,,,,21505,Indian River
,,,,21506,East Florida
,,,,21507,Tampa
,,,,21508,Apalachicola
,,,,21509,St. Joseph
,,,,21510,Magnolia
,,,,21511,Port Leon
,,,,21512,"St. Marks, FL"
,,,,21513,Indianola
,,,,21514,New Smyrna
,,,,21515,Cedar Key
,,,,21516,Jacksonville
,,,,21517,St. Andrews
,,,,21519,South Port
,,,,21520,Pawcatuck
,,,,21522,Madison County
,,,,21523,Benton County
,,,,21524,Columbia County
,,,,21525,Gadsen County
,,,,21527,Hernandez County
,,,,21528,Jackson County
,,,,21529,Hickstown
,,,,21530,Jefferson County
,,,,21531,Newport
,,,,21532,Quincy
,,,,21533,Washington County
,,,,21534,Tallahassee
,,,,21535,Woolsey
,,,,21599,"Florida, port unspecified"
20000,Mainland North America,21600,Gulf coast,21601,New Orleans
,,,,21602,La Balise
,,,,21603,Louisiana
,,,,21604,Biloxi
,,,,21605,Mississippi
,,,,21606,Mobile
,,,,21607,Vicksburg (MS)
,,,,21608,"Alexandria, Rapides Parish"
,,,,21609,Ascension Parish
,,,,21610,Assumption Parish
,,,,21611,Lafayette Parish
,,,,21612,"Wilkinson County, MS"
,,,,21613,Avoyelles Parish
,,,,21614,"Macon County, AL"
,,,,21615,"Bayou Sara, West Feliciana Parish"
,,,,21617,Catahoula Parish
,,,,21618,Claiborne Parish
,,,,21619,"Donaldsonville, Ascension Parish"
,,,,21620,East Baton Rouge Parish
,,,,21621,East Feliciana Parish
,,,,21622,"Union Parish, LA"
,,,,21623,"Greenville, Jefferson County, MS"
,,,,21624,"Hempstead County, AR"
,,,,21625,"Huntsville, AL"
,,,,21626,Iberville Parish
,,,,21627,Jefferson Parish
,,,,21628,Lafourche Parish
,,,,21629,Livingston Parish
,,,,21630,"Amite County, MS"
,,,,21631,"Adams County, MS"
,,,,21632,Alabama (port unknown)
,,,,21633,Natchitoches Parish
,,,,21634,"Warren County, MS"
,,,,21635,Africatown AL
,,,,21636,Orleans Parish
,,,,21637,Ouachita Parish
,,,,21638,Plaquemines Parish
,,,,21639,"Porterville, AL"
,,,,21640,Rapides Parish
,,,,21641,St. Bernard Parish
,,,,21642,St. Charles Parish
,,,,21643,St. Helena Parish
,,,,21644,St. James Parish
,,,,21645,St. John the Baptist Parish
,,,,21646,St. Landry Parish
,,,,21647,St. Martin Parish
,,,,21648,St. Mary Parish
,,,,21649,Washington Parish
,,,,21650,West Baton Rouge Parish
,,,,21651,West Feliciana Parish
,,,,21652,"Baton Rouge, LA"
,,,,21653,"Clarke County, AL"
,,,,21654,"Natchez, MS"
